"movieid";"rank";"votes";"distribution"
1853104;"6.7";30944;"0000013200"
1853531;"6.9";1503;"0000012101"
1854045;"5.6";37330;"0000221000"
1854142;"7.9";24508;"0000001212"
1854166;"5.7";41447;"0000121000"
1854233;"7.6";76190;"0000001212"
1854918;"6.8";245;"0000012211"
1856252;"6.9";17127;"0000012211"
1856325;"6.8";22293;"0000023200"
1856595;"7.6";51965;"0000001212"
1856608;"7.5";54648;"0000002311"
1856613;"5.7";9216;"0000121101"
1856672;"6.7";12712;"0000012100"
1856727;"7.9";175674;"0000001321"
1856731;"6.7";10846;"0000012201"
1856763;"7.3";20110;"0000012211"
1856939;"4.5";155;"0011101111"
1857326;"5.2";3424;"0001111000"
1857496;"4.0";589;"1011110000"
1857769;"4.9";2480;"0001221000"
1857796;"6.8";125;"0000001112"
1858038;"6.2";53147;"0000122100"
1858357;"7.0";17852;"0000013101"
1858361;"5.6";7116;"0000111001"
1858362;"4.8";4180;"0011111000"
1858363;"5.7";7046;"0000121000"
1858364;"4.2";3409;"1011110001"
1858396;"7.2";12832;"0000012210"
1858463;"6.4";606;"0000012111"
1859092;"6.5";4188;"0000012200"
1859351;"7.3";25686;"0000012211"
1859542;"5.7";71703;"0000121000"
1859617;"6.0";98420;"0000122100"
1859753;"5.8";19631;"0000121100"
1860181;"7.1";10032;"0000012211"
1860327;"6.4";1073;"0000011111"
1860806;"7.7";47770;"0000001321"
1861004;"7.8";56691;"0000002311"
1861112;"7.2";12168;"0000011212"
1861202;"3.9";1170;"1011110001"
1861514;"6.5";83322;"0000122100"
1862412;"6.7";928;"0000012210"
1864055;"8.0";32545;"0000001223"
1864846;"7.7";58089;"0000002311"
1866000;"6.8";1560;"0000012211"
1866391;"6.5";3834;"0000012110"
1866400;"7.8";7547;"0000001211"
1867752;"7.9";76;"0...011213"
1868310;"6.5";673;"0000122100"
1868312;"6.1";1630;"0000122100"
1868452;"6.5";88;"0.00111111"
1868890;"7.1";96294;"0000013210"
1869010;"5.9";10990;"0000122000"
1869092;"5.7";12181;"0000121100"
1869304;"6.3";1858;"0000122100"
1869461;"4.3";1505;"1011110000"
1869771;"8.3";69331;"0000001223"
1870038;"6.4";1943;"0000112100"
1870132;"6.2";478;"0000122100"
1870151;"6.6";23651;"0000012101"
1870221;"5.6";43671;"0000121000"
1870751;"4.9";553;"0011210000"
1870798;"6.5";9487;"0000022100"
1871727;"5.1";8754;"0001221000"
1871833;"8.2";60495;"0000001321"
1872091;"5.3";1124;"0000121000"
1872587;"6.0";13138;"0000122100"
1872662;"6.0";36159;"0000122100"
1873263;"7.6";13094;"0000001211"
1874279;"8.3";369277;"0000001322"
1874284;"7.1";178347;"0000013200"
1874295;"7.5";198472;"0000002311"
1875013;"7.7";1022;"0000001221"
1875764;"6.9";227;"0000001311"
1875962;"6.8";898;"0000001211"
1876090;"6.6";526;"1000012100"
1878227;"5.8";11;"1...201000"
1878537;"6.8";1279;"0000012211"
1878669;"5.2";3295;"0000111002"
1879298;"7.1";11233;"0000012211"
1879358;"6.9";179;"0.00012212"
1879599;"6.3";25378;"0000122100"
1879793;"7.9";29978;"0000001212"
1880202;"6.6";88641;"0000012101"
1880648;"6.2";16302;"0000122101"
1880846;"5.9";25549;"0000122100"
1881802;"5.3";13220;"0001121000"
1881868;"7.1";6720;"0000001211"
1883153;"7.8";41003;"0000001212"
1883527;"6.0";4166;"0000121100"
1883528;"5.2";50447;"0001221000"
1883660;"8.0";41345;"0000001222"
1883995;"8.1";117748;"0000001321"
1884087;"4.9";1774;"0001211000"
1884286;"7.3";139223;"0000012211"
1885039;"7.2";20917;"0000012211"
1885177;"8.0";11952;"0000000223"
1885734;"6.6";31496;"0000012101"
1886005;"6.4";26255;"0000012101"
1886830;"6.3";633;"0000112100"
1887066;"7.8";150080;"0000002311"
1888102;"6.9";210;"0000011211"
1888780;"7.0";832;"0000012211"
1888811;"8.5";61813;"0000001222"
1888823;"6.2";41693;"0000122100"
1889009;"4.4";18182;"0011110000"
1889253;"5.0";1759;"0001210001"
1889491;"5.5";12179;"0000121100"
1889579;"7.7";24173;"0000001321"
1889621;"6.7";955;"0000012201"
1889788;"4.6";9302;"1001110000"
1889850;"6.0";776;"0000122000"
1890357;"7.3";78510;"0000013200"
1890437;"8.6";234440;"0000001123"
1890515;"7.6";22513;"0000002211"
1890516;"7.5";9911;"0000012211"
1890522;"7.4";97814;"0000012211"
1890588;"5.4";20499;"0001111001"
1890829;"6.3";56711;"0000122100"
1891484;"8.1";9;"....211..5"
1891605;"5.8";1982;"0000111101"
1891649;"6.5";1352;"0000011211"
1891803;"6.1";596;"0000111101"
1892010;"6.3";7504;"0000122100"
1892794;"5.2";10140;"0000111001"
1892991;"7.4";43720;"0000012310"
1893207;"5.3";16062;"0000111001"
1893210;"6.3";21778;"0000012101"
1893245;"5.4";11447;"0001221000"
1893343;"5.4";9624;"0000121100"
1893483;"7.3";18672;"0000012211"
1893657;"6.0";651;"0000122101"
1894338;"8.0";37426;"0000001212"
1894453;"3.7";6343;"1111100000"
1894619;"6.9";4605;"0000012200"
1894753;"5.8";6699;"0000122100"
1895102;"7.2";187486;"0000012211"
1895159;"7.3";48419;"0000012211"
1895286;"6.5";70865;"0000012101"
1895298;"7.0";7296;"0000012211"
1895425;"4.8";7006;"0001211000"
1895463;"7.5";10450;"0000002211"
1896345;"5.5";8422;"0000121000"
1896980;"6.7";569;"0000011112"
1897539;"7.5";3044;"0000001211"
1897778;"7.9";192744;"0000001211"
1898323;"6.2";3610;"0000122100"
1898372;"5.7";7173;"0001221000"
1898449;"6.7";11605;"0000012200"
1898539;"8.0";20778;"0000001212"
1898779;"5.9";4154;"0000122100"
1898814;"7.3";54445;"0000012211"
1898834;"5.7";1305;"0000231000"
1898971;"5.2";3302;"0001111000"
1899474;"6.9";1011;"0000012211"
1899694;"2.4";5303;"3110000000"
1899730;"8.0";112275;"0000001221"
1899741;"6.1";334;"0000111111"
1899769;"4.7";5343;"0001211000"
1900069;"6.3";3581;"0000012111"
1900319;"6.0";28041;"0000122100"
1900465;"8.0";237134;"0000001312"
1901554;"6.0";2232;"0000011101"
1903954;"7.3";1641;"0000001212"
1904083;"6.6";16;"0..01030.1"
1904548;"7.3";1094;"0000002211"
1904704;"6.8";431;"0000012111"
1906242;"7.4";8304;"0000002211"
1907821;"6.9";37273;"0000013200"
1910848;"7.3";56074;"0000012210"
1911817;"7.5";56423;"0000002311"
1912439;"5.6";162;"0000121001"
1913354;"6.7";19434;"0000012211"
1913703;"6.5";28517;"0000012101"
1914108;"6.8";217;"0000012110"
1914192;"7.2";64;"0.00011202"
1915247;"7.1";3794;"0000012212"
1915291;"5.4";21884;"0001121000"
1915498;"5.6";65558;"0001121000"
1915861;"6.1";256;"0000011102"
1915987;"7.2";133298;"0000013210"
1916996;"6.1";287;"0000111101"
1917129;"6.1";63141;"0000122100"
1918307;"5.9";59391;"0000122100"
1918312;"7.3";43904;"0000001212"
1918615;"7.2";94309;"0000013210"
1919846;"5.5";36742;"0001121000"
1919853;"7.2";59858;"0000012211"
1919898;"6.2";13711;"0000122100"
1919947;"6.2";4963;"0000122100"
1920973;"7.1";3187;"0000002211"
1921463;"6.2";3627;"0000122100"
1922080;"6.6";164;"00.0001122"
1922571;"5.9";26356;"0000122100"
1923001;"7.0";5498;"0000011212"
1923072;"4.1";4957;"1111110000"
1923165;"6.6";75904;"0000012100"
1923244;"6.7";42666;"0000012111"
1923287;"7.1";1886;"0000012211"
1923531;"6.4";7;"1....221.1"
1923821;"6.7";22658;"0000012101"
1923955;"5.5";138;"0001101101"
1923981;"6.8";22119;"0000013200"
1924384;"6.1";23186;"0000111101"
1924700;"7.3";35291;"0000012211"
1924755;"4.9";8306;"0001211000"
1924959;"6.3";30306;"0000122100"
1925337;"3.8";4490;"1111110000"
1925449;"3.7";11442;"1111100000"
1925477;"7.1";10543;"0000011211"
1925610;"6.6";171;"00.0011221"
1926507;"5.9";10918;"0000122100"
1926668;"6.0";1740;"0000122100"
1926854;"5.8";6846;"0000121100"
1926866;"4.8";11353;"1001111000"
1927003;"7.2";157029;"0000012211"
1927021;"6.0";4481;"0000122100"
1927338;"6.5";9836;"0000123100"
1927339;"5.5";5102;"0001221000"
1927950;"7.3";195780;"0000012211"
1928609;"3.9";7896;"1111110000"
1928755;"6.2";3488;"0000122101"
1928940;"5.6";1266;"0000121001"
1929146;"7.4";74;"0.00001102"
1929151;"5.6";1267;"1000001102"
1929205;"5.4";1167;"0001111000"
1929262;"6.9";40236;"0000013210"
1929431;"7.6";95751;"0000002311"
1929514;"5.0";244;"0001320000"
1930227;"6.8";10702;"0000023100"
1930572;"6.2";4911;"0000011111"
1930730;"8.1";25207;"0000001223"
1930793;"7.8";50218;"0000001212"
1930810;"7.1";18734;"0000012211"
1930942;"6.8";8901;"0000023100"
1931213;"6.4";34388;"0000122100"
1931235;"6.1";1404;"0000121101"
1931489;"8.2";266847;"0000001221"
1931497;"6.7";3915;"0000012211"
1931607;"5.1";54;"00012110.1"
1932160;"7.1";50232;"0000012211"
1932207;"7.2";2645;"0000012211"
1932235;"6.6";7855;"0000012101"
1932389;"6.8";37012;"0000023200"
1932393;"4.8";1700;"0001211000"
1932451;"5.3";4219;"0001111000"
1932817;"7.2";5731;"0000013210"
1932819;"5.6";18803;"0000121000"
1932958;"4.8";8882;"0001221000"
1933191;"7.3";2103;"0000001211"
1933254;"5.6";144;"0000112100"
1933459;"6.0";23079;"0000122100"
1933552;"7.6";151151;"0000001212"
1933599;"6.9";2839;"0000012112"
1933633;"7.0";12935;"0000012211"
1933702;"6.2";360;"0000121101"
1933830;"6.3";300;"0000112201"
1934075;"5.3";7257;"0001221000"
1934260;"7.0";8923;"0000012211"
1934406;"6.9";5568;"0000012210"
1934787;"5.5";1599;"0000111101"
1935106;"6.8";1278;"0000012101"
1935417;"7.8";160897;"0000001212"
1935619;"8.0";43862;"0000001222"
1936069;"6.5";6236;"0000012100"
1936394;"7.5";62916;"0000002211"
1936478;"6.2";14790;"0000122100"
1936800;"8.9";759494;"0000000124"
1938005;"6.9";953;"0000012210"
1938142;"6.7";119694;"0000013100"
1938743;"6.3";233;"0000112111"
1939369;"4.6";10043;"0001111000"
1939525;"7.4";34;"0.00011202"
1939666;"7.0";2715;"0000012211"
1939754;"5.9";15988;"0000121000"
1939762;"4.4";2602;"0011210000"
1939775;"4.5";2865;"0011110000"
1939900;"7.6";117134;"0000002311"
1940096;"4.7";5406;"0001211000"
1940121;"5.7";38739;"0000121000"
1940174;"5.3";252;"0000111001"
1941011;"8.0";14884;"0000001222"
1941100;"7.5";17865;"0000012211"
1941271;"7.5";46;"0000001103"
1941902;"5.8";22064;"0000121101"
1942017;"6.5";44450;"0000123100"
1942058;"6.2";10595;"0000122100"
1942083;"5.0";5563;"0001221000"
1942223;"6.2";3208;"0000122100"
1942296;"6.7";27195;"0000012101"
1942299;"5.8";10851;"0000121100"
1942625;"6.7";23191;"0000013101"
1942758;"5.0";5778;"0001211000"
1942787;"6.3";1317;"0000112100"
1942828;"6.7";11017;"0000012210"
1942898;"6.2";387;"0000112101"
1943470;"4.8";37228;"0001221000"
1943586;"6.3";3770;"0000111102"
1943718;"6.7";14390;"0000012101"
1943961;"6.7";1838;"0000023100"
1944457;"8.2";65;"0.00000213"
1944510;"7.6";40797;"0000002311"
1944862;"3.6";417;"3010000001"
1944905;"5.8";20532;"0000122100"
1945150;"6.2";31607;"0000122100"
1945248;"8.1";2334;"0000001222"
1945371;"6.4";480;"0000011101"
1945579;"6.3";19582;"0000122100"
1945589;"5.9";6301;"0000132100"
1945700;"5.4";6019;"0000221000"
1945816;"7.0";4340;"0000012200"
1945855;"6.8";48734;"0000023100"
1946023;"5.5";525;"0000121001"
1946107;"5.9";662;"0000112101"
1946327;"7.7";23960;"0000002211"
1946379;"6.2";9917;"0000122100"
1946397;"7.4";3105;"0000012211"
1946463;"5.2";19815;"0001221000"
1946562;"7.6";9289;"0000002311"
1946595;"5.6";200;"0000121101"
1946833;"6.1";25691;"0000122100"
1946963;"6.2";7456;"0000122100"
1947355;"8.7";659495;"0000000123"
1948277;"6.5";54217;"0000012100"
1948340;"7.0";76258;"0000012210"
1948561;"5.8";5328;"0000111101"
1949144;"7.2";3853;"0000012211"
1949444;"7.4";199;"0000001212"
1949502;"8.0";34527;"0000001212"
1949508;"6.3";31112;"0000122100"
1949526;"6.4";3840;"0000122100"
1949624;"6.6";644;"0000012211"
1950286;"6.2";6963;"0000122100"
1950466;"4.7";20783;"0011210000"
1950577;"6.9";2547;"0000012211"
1950688;"5.6";32238;"0000221000"
1950689;"4.6";9042;"0011210000"
1950690;"4.2";4964;"0011110000"
1950946;"5.1";9495;"0001221000"
1951003;"6.7";18147;"0000012211"
1951279;"6.3";28179;"0000122100"
1951390;"7.5";21430;"0000012310"
1951397;"7.2";59754;"0000012211"
1951417;"7.2";3151;"0000002211"
1951428;"7.5";6925;"0000002211"
1951931;"7.1";46492;"0000012211"
1951984;"6.4";52219;"0000122101"
1951988;"5.8";24953;"0000121100"
1951989;"5.3";20386;"0001111000"
1951990;"4.9";13520;"0001111000"
1951991;"4.2";15507;"1111110000"
1951993;"4.3";14653;"0011110000"
1952001;"5.5";18766;"0001111101"
1952054;"7.4";36594;"0000001211"
1952201;"4.2";1053;"1011110000"
1952386;"6.9";27380;"0000012201"
1952391;"5.6";5432;"0001121000"
1952490;"5.2";411;"1000101101"
1952676;"3.7";222;"1110000000"
1952847;"7.2";142980;"0000012211"
1952923;"7.8";23787;"0000002311"
1953106;"7.5";57656;"0000012211"
1953354;"5.8";1313;"0000112100"
1953362;"7.3";152;"0000002112"
1955153;"8.4";285223;"0000001222"
1955231;"6.3";1689;"0000122100"
1955340;"6.8";2785;"0000023100"
1955728;"6.5";2415;"0000011111"
1955747;"6.9";11586;"0000012201"
1955750;"5.8";11136;"0000122100"
1957176;"5.7";1574;"0000121101"
1957184;"5.7";44186;"0000121100"
1957472;"6.8";1547;"0000012111"
1958267;"7.2";88911;"0000012211"
1959117;"8.1";102550;"0000001222"
1959300;"6.2";4031;"0000122101"
1960531;"7.8";11579;"0000001311"
1960768;"7.8";141912;"0000001311"
1961185;"6.2";3020;"0000122100"
1962315;"6.0";93;"0000012100"
1963038;"7.3";7080;"0000012211"
1963417;"5.3";38879;"0001221000"
1963479;"6.0";1928;"0000112100"
1963756;"6.9";2521;"0000013210"
1963794;"6.3";4889;"0000122100"
1964069;"5.8";432;"0000112100"
1964073;"7.5";15546;"0000002311"
1964074;"4.8";20041;"0001211000"
1964200;"7.8";14;"0.0000...6"
1964209;"7.4";8006;"0000001212"
1964242;"6.8";48172;"0000013200"
1964339;"6.7";3259;"0000012201"
1964467;"4.3";853;"0012110000"
1964503;"4.2";4522;"0012110000"
1965214;"6.9";106430;"0000012201"
1965236;"7.8";164333;"0000002311"
1965261;"7.5";52468;"0000002211"
1965516;"6.4";87690;"0000122100"
1965632;"6.4";6609;"0000122100"
1965850;"7.6";18720;"0000002211"
1966241;"6.8";9921;"0000012111"
1966349;"7.7";14035;"0000002211"
1966580;"6.4";10067;"0000122100"
1966583;"6.8";10005;"0000013100"
1967074;"4.8";4082;"0001111000"
1967290;"5.0";120;"0011110002"
1967379;"7.2";84212;"0000012211"
1967389;"6.7";6565;"0000012201"
1967955;"5.7";577;"0000111101"
1968813;"8.5";558053;"0000001222"
1969187;"3.8";5373;"2110000001"
1969197;"7.9";51914;"0000001221"
1969753;"4.7";3413;"0001211000"
1969851;"7.9";79284;"0000001222"
1969868;"5.3";2234;"0000111101"
1970159;"7.2";48885;"0000012211"
1970215;"5.6";1377;"0000111101"
1970300;"7.0";869;"0000012211"
1970338;"7.2";1635;"0000013210"
1970505;"7.1";2321;"0000000521"
1970696;"6.9";777;"0000001211"
1971093;"7.5";20174;"0000002211"
1971149;"5.2";104208;"0001111000"
1971464;"7.3";4948;"0000012211"
1971706;"7.3";10231;"0000012212"
1971707;"5.8";2709;"0000111101"
1971712;"5.7";3555;"0000111101"
1971929;"5.7";2496;"0000121001"
1972108;"6.5";582;"0000122101"
1972287;"7.2";138952;"0000013210"
1972324;"7.8";94978;"0000002311"
1972807;"4.3";6316;"1011110000"
1972854;"6.4";4693;"0000122101"
1972884;"8.2";138868;"0000001213"
1973432;"7.2";56729;"0000013210"
1973625;"8.2";336576;"0000001322"
1973808;"5.5";2384;"0000121000"
1973922;"8.8";434239;"0000000233"
1974272;"3.4";892;"1111100000"
1974519;"5.2";216;"2000000002"
1974724;"5.4";4044;"0000111100"
1974984;"6.6";1156;"0000112100"
1975181;"6.4";2538;"0000012201"
1975609;"6.8";10211;"0000012210"
1975664;"7.6";8910;"0000002211"
1976109;"4.9";1010;"0011210000"
1976319;"7.5";17;"1...0001.5"
1976454;"4.3";4899;"0011110000"
1976610;"7.1";104354;"0000012211"
1976612;"3.8";18783;"1111100001"
1976643;"5.7";530;"0000111102"
1976777;"6.7";33243;"0000012111"
1977589;"7.2";86580;"0000013200"
1977592;"6.2";43499;"0000122100"
1977857;"6.8";8725;"0000012201"
1978263;"5.9";2974;"0000011101"
1978309;"7.3";56843;"0000012211"
1978312;"6.4";1191;"0000123100"
1978415;"8.1";263315;"0000001321"
1978778;"6.3";13941;"0000122100"
1978782;"6.8";25304;"0000013100"
1979111;"6.8";1013;"0000012200"
1979447;"7.7";19412;"0000002311"
1979839;"5.4";2846;"0001221000"
1979883;"5.8";1854;"0000112100"
1980073;"6.7";1936;"0000012101"
1980149;"5.8";427;"0000111102"
1980267;"5.4";4742;"0001121100"
1980412;"5.9";6854;"0000122100"
1981072;"6.0";426;"0000011101"
1981170;"7.1";8345;"0000012211"
1981506;"7.0";2933;"0000012211"
1982133;"3.6";1119;"1111100001"
1982903;"6.0";40130;"0000121101"
1983455;"6.7";11637;"0000012111"
1983617;"5.9";6997;"0000122100"
1983859;"6.5";35050;"0000012101"
1984278;"7.9";106539;"0000001212"
1984283;"5.7";19709;"0000121101"
1984284;"4.8";15340;"0001211000"
1984305;"5.4";35578;"0001121000"
1984320;"6.4";33555;"0000122101"
1984323;"4.2";19452;"1111110000"
1984372;"4.6";13552;"0001110000"
1984593;"6.8";3846;"0000012111"
1984751;"5.8";18;"000.2120.1"
1984763;"7.8";8017;"0000001211"
1984785;"6.7";13328;"0000012200"
1984792;"7.7";24165;"0000001212"
1984793;"5.9";6373;"0000111100"
1985138;"7.8";16327;"0000001222"
1985443;"6.8";343;"0.00112101"
1985576;"7.6";1078;"0000001222"
1985642;"6.9";16032;"0000013200"
1985755;"4.5";7882;"0011210000"
1985793;"7.5";1991;"0000002311"
1986482;"7.7";41173;"0000001221"
1986845;"6.9";100069;"0000012211"
1986848;"6.2";385;"..00122101"
1987088;"5.4";46;"0101111001"
1987126;"6.1";7365;"0000122100"
1987387;"7.1";1933;"0000001112"
1987547;"5.7";20558;"0000221000"
1987607;"5.9";24608;"0000121100"
1988142;"5.5";8;"..2.22.2.."
1988380;"8.0";40208;"0000001213"
1988448;"5.7";5795;"0000121101"
1988626;"5.7";16174;"0000121000"
1988834;"4.3";245;"1002110000"
1988919;"8.0";34841;"0000001222"
1989616;"5.0";3381;"0001111000"
1989826;"5.7";684;"0000111112"
1990705;"6.8";25589;"0000013200"
1990862;"7.2";2261;"0000013210"
1991064;"5.8";5236;"0000122100"
1991115;"6.2";2474;"0000011111"
1991269;"4.4";155;"1100110001"
1991544;"6.9";1053;"0000011212"
1991646;"5.4";1651;"0001221000"
1991707;"6.6";9568;"0000012101"
1991951;"6.6";19985;"0000022100"
1991969;"5.8";4565;"0000121100"
1992100;"8.1";2988;"0000001222"
1992217;"8.3";276320;"0000001222"
1992315;"7.3";38667;"0000012211"
1992335;"6.7";7917;"0000012100"
1992344;"6.6";619;"0000012111"
1992374;"6.8";10131;"0000012200"
1992459;"5.7";1289;"0000122000"
1992478;"5.5";3540;"0001221000"
1992502;"7.5";37807;"0000002211"
1992538;"6.9";2869;"0000012111"
1992600;"6.5";16420;"0000012101"
1992682;"7.2";25;"0.100.1004"
1992774;"6.7";244;"0000001122"
1993553;"4.7";2265;"0001211000"
1993850;"5.5";2770;"0000111100"
1993913;"7.3";4397;"0000012311"
1994073;"6.2";20176;"0000122101"
1994279;"5.1";2065;"0001111000"
1994414;"7.0";49797;"0000012211"
1994418;"5.2";13779;"0001221000"
1994419;"4.7";9871;"0001211000"
1994580;"7.0";9658;"0000012112"
1995071;"7.1";4780;"0000002211"
1995121;"7.7";18209;"0000001212"
1995178;"7.1";16244;"0000012211"
1995179;"4.9";482;"1001111000"
1996222;"4.6";2702;"0012210000"
1996223;"5.2";3400;"0001221000"
1996227;"5.4";3660;"0001221000"
1996275;"7.0";70840;"0000012211"
1996365;"6.2";91;"0.00122100"
1996544;"4.7";6004;"1001111000"
1998427;"6.7";34;"0.000111.2"
1998849;"5.2";4086;"0001221000"
1998864;"5.9";4301;"0000122100"
1999026;"6.5";6323;"0000012211"
1999095;"7.5";105914;"0000002311"
1999210;"8.2";52990;"0000001222"
1999241;"7.6";23530;"0000002311"
1999308;"5.2";8360;"0001211000"
1999581;"6.2";11293;"0000012100"
1999623;"7.1";70074;"0000012211"
1999628;"4.0";11611;"1011110000"
1999634;"4.3";12021;"0011110000"
1999986;"7.1";7000;"0000012211"
2000130;"1.8";493;"5100000000"
2001271;"8.0";30758;"0000001222"
2002121;"6.5";2813;"0000122101"
2002500;"6.7";25029;"0000012101"
2003554;"6.2";34636;"0000111102"
2003869;"6.7";89;"0000121102"
2004240;"7.4";5750;"0000002212"
2004435;"5.6";76702;"0001221000"
2004444;"7.1";829;"0000002311"
2005166;"4.7";12436;"0001211000"
2005202;"5.8";9621;"0000122100"
2005242;"5.4";100;"0000111001"
2005280;"7.5";1892;"0000001222"
2005459;"7.3";176752;"0000012211"
2005467;"6.2";110506;"0000122101"
2005469;"3.9";41835;"1111110000"
2005550;"4.8";5882;"0001211000"
2005656;"6.3";32;"00001.2001"
2005831;"6.3";6991;"0000012101"
2006016;"5.6";3280;"0000121000"
2006320;"5.5";7204;"0001221001"
2006322;"6.7";22026;"0000022101"
2006660;"4.5";21622;"0012210000"
2006702;"6.2";65740;"0000122100"
2006796;"5.7";11161;"0000131000"
2006907;"7.5";3900;"0000012211"
2006992;"4.3";41;"0121000000"
2007256;"5.9";6088;"0000122100"
2007295;"7.3";96;"0.00003210"
2007305;"6.4";120134;"0000122100"
2007465;"8.0";13054;"0000001222"
2007522;"7.5";25021;"0000002211"
2007673;"5.5";13350;"0000121100"
2008297;"6.4";3946;"0000122101"
2009281;"5.6";531;"0000221001"
2009507;"6.4";44915;"0000122100"
2010080;"6.0";497;"0000121111"
2010339;"6.0";11865;"0000122100"
2010351;"5.4";4999;"0001221001"
2010417;"5.1";5436;"0001211000"
2010432;"5.8";5999;"0000111101"
2010439;"4.5";2460;"0011110000"
2010442;"3.2";1817;"2111100001"
2010567;"5.7";2295;"0000221000"
2010591;"6.1";2871;"0000122100"
2010811;"6.8";10228;"0000013100"
2010812;"5.4";34727;"0001121000"
2010861;"5.6";3371;"0000121101"
2011220;"7.8";10963;"0000001212"
2011327;"5.8";1440;"0000121101"
2011538;"5.1";3955;"0000111000"
2011835;"4.7";1643;"0001111001"
2012189;"5.9";6560;"0000122100"
2012308;"3.7";645;"1111100000"
2012468;"4.3";23863;"1011110000"
2012474;"7.4";15786;"0000012211"
2012514;"3.0";3425;"2111000000"
2013009;"6.6";565;"0000122101"
2013180;"7.9";11527;"0000001311"
2013370;"4.9";1366;"0001111001"
2013847;"6.7";14297;"0000012211"
2014240;"6.6";19470;"0000023100"
2014741;"7.9";8569;"0000001223"
2014806;"5.6";7670;"0000111100"
2014847;"6.3";897;"0000112101"
2014992;"4.9";5716;"0001211000"
2015145;"6.0";634;"0000011101"
2015664;"7.6";1346;"0000002212"
2016321;"8.0";9356;"0000001222"
2016990;"7.2";9799;"0000013210"
2017211;"5.2";2902;"0001121000"
2017357;"3.4";1277;"2110000001"
2017615;"5.5";73585;"0001221000"
2017696;"6.2";988;"0000111102"
2018026;"5.0";7655;"0001221000"
2018109;"5.4";343;"0000111100"
2018119;"5.4";1918;"0001111001"
2018220;"6.7";1104;"0000012211"
2018491;"6.2";1366;"0000122100"
2018562;"6.4";4486;"0000122100"
2018570;"4.3";101;"1111110001"
2018634;"4.3";39735;"0011210000"
2019104;"6.8";1274;"0000012211"
2019186;"5.7";440;"1000101002"
2019328;"7.7";1202;"0000001311"
2019451;"6.4";2329;"0000122100"
2020617;"7.1";4190;"0000012211"
2020780;"4.9";4339;"0001111000"
2020812;"5.5";1635;"0001221100"
2020856;"6.2";333;"0000012101"
2021095;"6.3";1073;"0000012101"
2021329;"7.1";977;"0000001112"
2021560;"6.0";15318;"0000122100"
2023079;"6.8";1263;"0000012101"
2023205;"6.7";16702;"0000012211"
2023228;"6.0";25831;"0000122100"
2023565;"4.7";2845;"1001111000"
2023785;"7.6";11999;"0000001211"
2024562;"7.3";94;"..00012111"
2024833;"9.0";301575;"0000000124"
2025172;"8.0";10963;"0000001222"
2025742;"7.4";3115;"0000012211"
2026315;"7.1";5237;"0000002211"
2026671;"6.6";5558;"0000012111"
2027057;"6.2";1403;"0000122100"
2027469;"6.1";283;"0000112100"
2027949;"5.1";58;"3000000002"
2028072;"5.1";305;"0000111101"
2028079;"6.1";1234;"0000111101"
2028238;"5.1";4277;"0001111000"
2029309;"7.2";14146;"0000012211"
2029381;"6.9";1291;"0000013200"
2029975;"6.2";25219;"0000122100"
2030303;"5.3";8831;"0001121000"
2030427;"4.9";883;"0001111001"
2030641;"5.6";5166;"0000121001"
2030843;"6.2";544;"0000132000"
2031233;"6.4";1339;"0000022101"
2031463;"5.6";3408;"0000122100"
2032104;"4.3";7231;"0011110000"
2032173;"7.0";1643;"0000002112"
2032270;"7.2";9464;"0000012211"
2032626;"8.0";34690;"0000001321"
2032743;"7.2";54288;"0000013200"
2032839;"7.0";28502;"0000012211"
2032879;"8.1";59565;"0000001321"
2033355;"6.9";4232;"0000012211"
2033854;"6.2";2067;"0000122100"
2034091;"5.6";32885;"0000221000"
2034166;"6.8";284387;"0000012200"
2034409;"6.4";521;"0000012111"
2034464;"8.3";314024;"0000001222"
2034473;"7.6";197674;"0000012311"
2034705;"6.8";5689;"0000012211"
2035079;"6.6";8162;"0000012101"
2035238;"6.0";1223;"0000121100"
2035535;"8.1";15001;"0000001222"
2037379;"7.3";7609;"0000013310"
2037451;"3.9";25181;"0111110000"
2037640;"6.3";20886;"0000122100"
2037667;"7.0";968;"0000001112"
2038091;"7.3";9639;"0000012211"
2038757;"7.5";167882;"0000002211"
2038910;"6.2";532;"0000122100"
2039701;"7.9";23711;"0000002311"
2039774;"6.2";7387;"0000122100"
2040205;"6.8";935;"0000023101"
2040689;"7.3";8888;"0000012211"
2040763;"5.0";7905;"0001211000"
2040764;"3.3";3220;"1111100000"
2040765;"2.8";749;"3111000000"
2041945;"4.9";1653;"0001111000"
2042409;"5.8";2320;"0000222000"
2042414;"5.5";570;"0000112101"
2042417;"6.5";3914;"0000122100"
2042450;"4.9";1126;"0011111000"
2042462;"6.2";19572;"0000122100"
2042532;"8.2";40155;"0000001222"
2042748;"5.2";10043;"0001111001"
2043167;"6.7";1943;"0000011112"
2043588;"8.7";169491;"0000000123"
2043628;"6.0";960;"0000111101"
2044667;"6.8";584;"0000012101"
2044913;"8.0";83671;"0000001222"
2044952;"7.0";392;"0000001112"
2045231;"6.3";3419;"0000012101"
2045245;"5.5";32030;"0000221000"
2045328;"4.9";15036;"0001211000"
2045876;"7.5";160185;"0000012311"
2046161;"4.9";6869;"0001211000"
2046389;"6.4";7271;"0000123100"
2046586;"2.9";1567;"3110000000"
2046667;"7.9";50;"0000000114"
