"movieid";"rank";"votes";"distribution"
1715288;"6.1";8194;"0000122100"
1715380;"6.2";113145;"0000122100"
1715404;"8.5";304118;"0000001222"
1715607;"6.9";26805;"0000013200"
1715793;"8.4";53707;"0000001223"
1716019;"6.3";16798;"0000122101"
1716020;"5.0";2719;"0001210001"
1716411;"6.5";2206;"0000012111"
1716452;"8.0";35758;"0000001222"
1716615;"7.6";13608;"0000001212"
1717077;"7.6";6666;"0000002311"
1717117;"5.5";1448;"0000121100"
1717144;"6.5";321;"0000011111"
1717455;"4.1";5226;"1111110000"
1717910;"5.8";5648;"0000122100"
1718318;"7.9";148374;"0000001222"
1718342;"5.4";10150;"0000111001"
1718968;"7.1";11393;"0000012211"
1719502;"6.2";1153;"0000122000"
1719614;"7.4";60;"0000011103"
1720040;"8.4";170877;"0000001222"
1720443;"6.8";3620;"0000012211"
1721568;"8.5";520963;"0000001222"
1721607;"5.6";2425;"0000121000"
1721750;"7.7";517;"0000001222"
1721864;"6.0";3491;"0000122100"
1721888;"6.0";11098;"0000121100"
1721919;"7.5";46950;"0000012211"
1721967;"8.6";461191;"0000000232"
1722098;"7.7";10685;"0000001212"
1722164;"7.0";221305;"0000012211"
1722174;"6.3";1695;"0000122100"
1722181;"6.7";2131;"0000011112"
1722198;"7.6";220734;"0000002211"
1722327;"5.1";470;"0010111101"
1722395;"3.5";1236;"1111100000"
1722617;"6.8";319;"0000012101"
1722761;"7.1";40261;"0000012210"
1722776;"3.7";3036;"1112100000"
1722777;"5.0";5289;"0001111000"
1723002;"5.7";676;"0000121100"
1723532;"5.3";5881;"0001221000"
1724000;"7.4";15425;"0000012211"
1724037;"3.4";2538;"3100000000"
1724179;"6.8";24825;"0000013101"
1724180;"6.2";10938;"0000122100"
1724190;"7.5";42128;"0000012211"
1724193;"4.9";14651;"0001211000"
1724201;"7.2";14726;"0000012211"
1724413;"5.8";1696;"0000111101"
1724880;"6.7";9860;"0000012210"
1725774;"4.5";51441;"0011110000"
1726761;"6.6";91645;"0000023100"
1726934;"6.8";48974;"0000012111"
1727017;"6.0";8409;"0000122100"
1727082;"8.1";29677;"0000001321"
1727237;"6.9";4231;"0000012211"
1727348;"4.0";1154;"0012110000"
1727413;"7.5";16383;"0000002311"
1727885;"5.4";3732;"0001221001"
1728742;"6.8";985;"0000012211"
1728802;"7.3";43915;"0000012211"
1728889;"6.7";2736;"0000012201"
1728948;"6.9";1272;"0000013200"
1729005;"6.2";515;"0000011102"
1729026;"7.1";13188;"0000012211"
1729240;"6.8";3162;"0000012210"
1729260;"5.7";15038;"0000121000"
1729569;"6.3";4699;"0000012101"
1729818;"7.5";66295;"0000001211"
1730566;"6.2";3628;"0000122101"
