"movieid";"writerid";"addition"
1689210;278282;"(written by)  <1,1,1>"
1689263;17544;""
1689263;281844;""
1689263;330344;""
1689475;274487;"(original screenplay)  <1,1,1>"
1690318;211809;"(written by)  <1,1,2>"
1690318;279169;"(written by)  <1,1,1>"
1690377;61272;"(written by)  <1,1,1>"
1690616;53644;"(story)  <1,1,2>"
1690616;124055;"(screenplay)  <2,1,1>"
1690616;226600;"(screenplay)  <2,1,2>"
1690616;395139;"(story)  <1,1,1>"
1690710;244220;"(writer)"
1690773;159181;"(written by)  <1,1,1>"
1690958;97893;"(written by)"
1691077;49008;"(novel)  <1,1,1>"
1691077;60857;"(screenplay)  <2,2,1>"
1691077;201333;"(screenplay)  <2,1,1>"
1691387;387845;"(written by)  <1,1,1>"
1691642;37307;"(from the play by)  <1,1,1>"
1691642;37307;"(screenplay)  <2,1,1>"
1691685;89959;"(screenplay)"
1691793;146617;"(novel)  <1,1,1>"
1691793;152881;"(screenplay)  <2,1,1>"
1691793;288794;"(screenplay)  <2,2,1>"
1692173;159596;"(screenplay)  <2,1,1>"
1692173;332709;"(play)  <1,1,1>"
1692404;269421;"(story)"
1692404;405648;"(screenplay)"
1692404;405648;"(story)"
1692580;24221;"(story)"
1692580;28978;""
1692580;216012;"(translation and adaptation)"
1693225;111696;"(written by)  <1,2,1>"
1693225;183249;"(written by)  <1,2,2>"
1693225;194612;"(written by)  <1,1,1>"
1693305;8144;"(screenplay)  <2,1,1>"
1693305;217788;"(from the book by)  <1,1,1>"
1693341;75331;"(written by)  <1,1,1>"
1693345;75331;"(characters)  <3,1,1>"
1693345;75331;"(screenplay)  <2,1,1>"
1693345;75331;"(story)  <1,1,1>"
1693345;81111;"(screenplay)  <2,3,1>"
1693345;316192;"(screenplay)  <2,4,1>"
1693345;383904;"(screenplay)  <2,2,1>"
1693345;383904;"(story)  <1,2,1>"
1693346;75331;"(character)  <1,1,1>"
1693346;153682;"(screenplay)  <3,1,1>"
1693346;153682;"(story)  <2,2,1>"
1693346;195451;"(story)  <2,1,1>"
1693346;391159;"(screenplay) (as Scott Pierce)  <3,2,1>"
1693346;391160;"(screenplay) (as Scott Pierce)  <3,2,2>"
1693347;61896;"(written by)  <1,1,1>"
1693347;75331;"(characters)"
1693348;36792;"(screenplay)  <3,1,1>"
1693348;36792;"(story)  <2,2,1>"
1693348;75331;"(characters)  <1,1,1>"
1693348;340167;"(story)  <2,1,1>"
1693348;345993;"(story)  <2,1,2>"
1693861;185530;"(screenplay)  <2,1,1>"
1693861;192445;"(play ""Dial M for Murder"")  <1,1,1>"
1693880;147238;"(written by)  <1,1,1>"
1694141;45418;"(screenplay)  <3,2,1>"
1694141;96093;"(based on the novel by)  <1,1,1>"
1694141;184383;"(play adapted from the novel by)  <2,1,1>"
1694141;395198;"(screenplay)  <3,1,1>"
1694448;399880;"(written by)  <1,1,1>"
1694647;386386;"(written by)  <1,1,1>"
1694901;147715;"(play)  <1,1,1>"
1694901;147715;"(screenplay)  <2,1,1>"
1695219;119972;"(screenplay)  <2,1,1>"
1695219;223180;"(story)  <1,1,1>"
1695355;116710;"(novel)  <1,1,1>"
1695355;292476;"(screenplay)  <2,1,1>"
1696148;342566;"(novel)  <1,1,1>"
1696148;342566;"(screenplay)  <2,1,1>"
1696165;102670;"(novel ""Silas Marner"")  <1,1,1>"
1696165;231261;"(written by)  <2,1,1>"
1696168;313644;"(written by)  <1,1,1>"
1696396;243782;"(written by)  <1,1,1>"
1696396;320582;"(written by)  <1,2,1>"
1696473;169852;"(screenplay)  <2,1,1>"
1696473;176900;"(novel)  <1,1,1>"
1696473;292476;"(screenplay)  <2,1,2>"
1696496;121371;"(play ""A Soldier's Play"")  <2,1,1>"
1696496;121371;"(screenplay)  <1,1,1>"
1696789;53025;"(screenplay)  <2,1,2>"
1696789;56641;"(screenplay)  <2,1,3>"
1696789;56641;"(story)  <1,2,1>"
1696789;152742;"(contributing writer) (uncredited)  <3,1,1>"
1696789;204006;"(contributing writer) (uncredited)  <3,2,1>"
1696789;224591;"(contributing writer) (uncredited)  <3,3,1>"
1696789;278460;"(screenplay)  <2,1,1>"
1696789;327607;"(contributing writer) (uncredited)  <3,4,1>"
1696789;330816;"(contributing writer) (uncredited)  <3,5,1>"
1696789;347284;"(uncredited)"
1696789;389753;"(story)  <1,1,1>"
1697037;323570;"(adaptation)  <2,1,1>"
1697037;394375;"(original play ""A Streetcar Named Desire"")  <3,1,1>"
1697037;394375;"(screen play)  <1,1,1>"
1697674;23842;"(screenplay)  <2,3,1>"
1697674;47789;"(screenplay)  <2,2,2>"
1697674;106539;"(screenplay)  <2,2,1>"
1697674;205864;"(screenplay)  <2,1,1>"
1697674;205864;"(story)  <1,1,1>"
1697690;176943;"(screenplay)  <2,1,1>"
1697690;341275;"(novel)  <1,1,1>"
1697774;198159;""
1697774;328486;""
1697856;133152;"(screenplay)  <2,1,1>"
1697856;140040;"(novel ""A Time To Kill"")  <1,1,1>"
1698492;29427;"(screenplay)  <3,2,1>"
1698492;102515;"(screenplay)  <3,1,1>"
1698492;102515;"(story)  <2,1,1>"
1698492;181581;"(screenplay)  <3,1,2>"
1698492;181581;"(story)  <2,1,2>"
